qid,gender,citizenship,occupation,cause_of_death
Q192667,male,Panama,drug lord|politician|military personnel|military engineer,cerebral hemorrhage
Q193492,male,Kenya,politician|minister,multiple organ dysfunction syndrome
Q204815,male,United States,artificial intelligence researcher|university teacher|mathematician|computer scientist,cerebral hemorrhage
Q194280,male,United States,nightclub owner|activist|philanthropist|political activist|film actor|television actor|editor|publisher|voice actor|socialite|film producer|journalist|executive producer|entrepreneur|actor|writer,sepsis
Q190628,female,United States,politician|president,pulmonary emphysema
Q1992645,male,Saudi Arabia,Islamic jurist|human rights defender,decapitation
Q20830260,male,Syria,archaeologist|curator|historian|professor,decapitation
Q19242,male,United States,air force officer|aircraft pilot|diplomat|entrepreneur|engineer|astronaut,airplane crash
Q1974277,male,Australia,snowboarder,drowning
Q2046283,male,Indonesia,university teacher|civil servant|translator|poet,organ dysfunction
Q205345,male,Japan|Empire of Japan,organic chemist|marine biologist|biochemist|university teacher|chemist,senility
Q193645,male,United States,jazz trumpeter|humanitarian|music executive|jazz musician|trumpeter|bandleader|television producer|film producer|songwriter|music arranger|pianist|record producer|singer|conductor|composer,pancreatic cancer
Q200405,male,United Kingdom,video game actor|explorer|film actor|television actor|character actor|voice actor|stage actor|actor,pancreatic cancer
Q200760,male,United States,lecturer|consultant|physician writer|psychologist|writer,pancreatic cancer
Q200015,male,Russia,politician|military personnel|lawyer,septic shock|COVID-19|pulmonary edema
Q209586,male,United States,jazz musician|songwriter|pianist|singer|composer,organ dysfunction
Q1966992,male,Russia,film actor|television actor|actor,thromboembolism
Q1967525,male,Russia,television actor|conferencier|singer|actor,thromboembolism
Q190523,male,Canada,film actor|television actor|stage actor|voice actor|character actor|actor,falling from height
Q192474,male,United Kingdom,rock singer|recording artist|guitarist|rock musician|jazz guitarist|songwriter|record producer|composer,bacterial meningitis
Q204640,male,Spain,association football player,train collision
Q208582,male,Japan,video game artist|film director|character designer|art director|illustrator|mangaka|television producer|screenwriter|writer,acute subdural hematoma
Q194881,male,United States,film actor|television actor|comedian,surgical complications
Q204369,female,South Africa,activist|diplomat|poet,Coronavirus
Q19872361,female,United Kingdom,politician,stab wound
Q189575,male,Romania,non-fiction writer|activist|revolutionary|design engineer|propagandist|politician|engineer|writer,lung cancer
Q193346,male,Sweden,crime fiction writer|human rights defender|film director|children's writer|playwright|screenwriter|writer,lung cancer
Q1890361,male,United States,Russian studies scholar|journalist|university teacher|historian|writer,lung cancer
Q1968297,male,India,film actor|stage actor|poet|composer|writer|actor,COVID-19
Q2035589,male,Sweden,writer|actor,COVID-19
Q20049447,male,Jordan|Palestine,military leader|politician,drone warfare
Q201470,male,Canada,physicist|university teacher,
Q201550,male,Israel|Mandatory Palestine,scientific collector|ornithologist|university teacher|biologist|zoologist,
Q202140,male,United States,autobiographer|university teacher|chemist,
Q202146,male,France,researcher|chemist,
Q202149,male,Kingdom of the Netherlands,theoretical physicist|university teacher|physicist,
Q202443,female,Japan|Empire of Japan,political scientist|university teacher|diplomat,
Q202584,male,United States,basketball coach|basketball player|engineer,
Q202863,female,Serbia,historian|political commissar|politician,
Q203215,male,Sweden|France,director|television actor|film actor|film director|stage actor|actor,
Q203960,male,United States,television actor|film actor|voice actor|stage actor|actor,
Q204385,male,United Kingdom,guitarist|musician|record producer,
Q204487,male,Tunisia|French protectorate of Tunisia,diplomat|politician,
Q206460,male,United States,political scientist|university teacher|economist,
Q206499,male,United States,nuclear physicist|university teacher,
Q206719,male,Benin,statesperson|politician|military personnel,
Q206856,female,Ireland|United States|United Kingdom,television actor|film actor|film producer|voice actor|character actor|stage actor|television producer|singer|screenwriter|writer|actor,
Q207076,female,France,ballet dancer|vedette|singer|actor,
Q188357,male,Canada,philosopher|historian|professor,
Q189728,male,Poland,Catholic deacon|lecturer|university teacher|Catholic bishop|Catholic priest,
Q189732,male,Poland|Ukraine|Soviet Union,film actor|economist|politician,
Q189990,male,United Kingdom,university teacher|astrophysicist|physicist|astronomer,
Q190626,male,United Kingdom,molecular biologist|biophysicist|biochemist|university teacher|chemist,
Q190770,male,United States,theoretical physicist|university teacher|physicist|writer,
Q191819,male,United Kingdom|United Kingdom of Great Britain and Ireland,music arranger|musician|record producer|conductor|audio engineer|composer,
Q192112,male,United Kingdom,particle physicist|theoretical physicist|university teacher|physicist,
Q192359,male,Brazil,recording artist|guitarist|jazz musician|jazz guitarist|songwriter|musician|singer|composer,
Q192556,male,United Kingdom,barrister|politician|university teacher,
Q192592,male,United States,statistician|political scientist|university teacher|economist|teacher|writer,
Q192603,male,Hungary|United States,university teacher|chemist,
Q192688,male,Norway|United States,university teacher|engineer|physicist|scientist,
Q192749,male,France,association football player|association football coach,
Q193496,male,United States,nuclear physicist|university teacher|physicist,
Q193630,male,United Kingdom,politician,
Q193687,female,Switzerland,dancer|singer|actor,
Q194000,male,Estonia|Soviet Union,agricultural scientist|politician|university teacher,
Q195396,male,United Kingdom,film actor|television actor|stage actor,
Q198346,female,United States,feminist|philosopher|environmentalist|theologian|university teacher|writer,
Q1969431,male,Slovenia,essayist|cultural critic|literary critic|sociologist|editor|translator|poet|writer,struck by vehicle
Q2052002,male,United States,television actor|actor,brain cancer
Q20740852,male,United Kingdom,blogger|philosopher|university teacher|music critic|writer|cultural studies scholar|theorist,
Q207166,male,Yugoslavia|Croatia,association football player|association football coach,
Q207358,male,Brazil,water polo player|swimmer|politician|lawyer,
Q208258,female,France,singer,
Q208356,male,United Kingdom,topologist|university teacher|mathematician,
Q208670,male,Australia,microbiologist|pathologist|researcher|university teacher|physician,
Q208681,male,United States,recording artist|film actor|voice actor|guitarist|singer-songwriter|military personnel|singer|composer|actor,
Q1894125,male,United States,guitarist|musician|singer-songwriter,
Q1895804,male,United States,basketball player|law clerk|politician|lawyer,
Q1900170,male,Russia,chess coach|chess player|coach|writer,
Q1900836,male,Slovenia,association football player|association football coach,
Q1905931,male,Spain,association football player,
Q1913939,male,Germany,entrepreneur,
Q1918218,female,Mexico,theatre entrepreneur|television actor|film actor|stage actor|film director|author|singer|politician|actor,
Q1936300,male,United States,jazz musician|recording artist|radio personality|pianist|musician,
Q1951952,male,South Africa,LGBTQ rights activist|imam,
Q1962550,male,Russia,actor,
Q1963481,male,Kazakhstan|Soviet Union,politician,
Q1964037,male,Russia|Soviet Union,memoirist|theatre director|singer|poet|actor,
Q1964136,female,Russia|Soviet Union,speed skater,
Q1964661,male,Russia|Soviet Union,mind gamer|rock musician|guitarist|film score composer|multi-instrumentalist|lyricist|singer-songwriter|singer|poet|composer|actor,
Q1970048,male,Russia|Soviet Union,film actor|university teacher|statesperson|politician,
Q1974920,male,France,television actor|film actor|director|film director|actor|screenwriter,
Q1979276,male,Ukraine|Soviet Union,literary scholar|philologist|literary critic|opinion journalist|university teacher|human rights defender|politician|writer,
Q1981523,male,Russia|Soviet Union,cardiologist|university teacher|politician|physician,
Q1983805,male,Russia|Soviet Union,dub actor|director|theatre director|film director|singer|politician|actor|screenwriter,
Q1989768,male,Bulgaria,association football player,
Q1996640,male,Spain,association football player,
Q1999640,male,United States,film actor|television actor|theatre director|film producer|film director|voice actor|stage actor|television producer|actor,
Q1999847,male,Spain,association football player|association football coach,
Q2004991,male,Bulgaria,association football player|association football coach,
Q2006202,male,Lithuania|Soviet Union,athletics competitor,
Q2006606,male,Uruguay,association football player|association football coach,
Q2011217,female,Ukraine|Soviet Union,singer|actor,
Q2014245,female,United States,basketball coach|basketball player,
Q2018516,male,Georgia|Soviet Union,politician,
Q2020488,female,United States|Pakistan|British Raj,novelist|writer|screenwriter,
Q2026032,male,United Kingdom,banker|politician,
Q2026222,male,Belarus|Soviet Union,diplomat|politician|military personnel,
Q2028076,male,Russia|Germany|Soviet Union,songwriter|lyricist|singer|audio engineer|poet|composer,
Q2029666,male,Sultanate of Zanzibar,politician,
Q2045965,female,India|British Raj,novelist|autobiographer|poet|writer,
Q2046855,male,Kingdom of Denmark,artist|politician|teacher,
Q2063878,male,Croatia|Socialist Federal Republic of Yugoslavia,association football player,
Q2065707,male,United Kingdom|Australia,film director|stage actor|film actor|television actor|actor,
Q2066848,male,Belarus|Russia|Soviet Union,television journalist|presenter|human rights defender|journalist|television presenter|editing staff|editor-in-chief,
Q2072385,male,Qatar,politician,
Q2073498,male,Turkey|Syria,aristocrat,
Q2076016,male,United States,film actor|television actor|stage actor|actor,
Q2086893,male,Australia,blood donor|dog breeder,
